description,images,part,name,weight,associated
"","https://www.aiproducts.com/images/AH137792(1).JPG,https://www.aiproducts.com/images/AH137792(2).JPG,https://www.aiproducts.com/images/AH137792(3).JPG,https://www.aiproducts.com/images/AH137792.JPG","A-AH137792","Support, Straw Chopper Deflecter","38.00 lbs","null"
"Dim A (1): 10.87"" Wide<br> Dim B (2): 27.50"" Long","https://www.aiproducts.com/images/AH138426(1).JPG,https://www.aiproducts.com/images/AH138426(2).JPG,https://www.aiproducts.com/images/AH138426(3).JPG,https://www.aiproducts.com/images/AH138426(4).JPG","A-AH138426","Door Assembly, Clean Grain Elevator (Solid)","5.15 lbs","null"
"","https://www.aiproducts.com/images/AH139388.JPG,https://www.aiproducts.com/images/AH139388(1).JPG","A-AH139388","Door Assembly, Clean Grain; Solid","24.00 lbs","null"
"","https://www.aiproducts.com/images/AH139790.JPG,https://www.aiproducts.com/images/AH139790(1).JPG","A-AH139790","Sheet, Straw Chopper; Regular","26.00 lbs","null"
"Use W/ 80MM Diameter Ram.","https://www.aiproducts.com/images/AH140063(1).JPG,https://www.aiproducts.com/images/AH140063(2).JPG","A-AH140063","Kit, Hydraulic Cylinder",".06 lbs","null"
"","https://www.aiproducts.com/images/904-304(1).JPG","A-AH140818","Expansion Valve",".50 lbs","null"
"Replaces: AH141824, AH134707","https://www.aiproducts.com/images/AH142180.JPG","A-AH142180","Elevator, Clean Grain, Upper","195.00 lbs","null"
"","https://www.aiproducts.com/images/AH143047.JPG,https://www.aiproducts.com/images/AH143047(1).JPG","A-AH143047","Sheet, Bottom, Straw Chopper Assy","125.00 lbs","null"
"Inside Diameter: 1.942""<br> Outside Diameter: 3.711""<br> Teeth: 17","https://www.aiproducts.com/images/AH143227.JPG","A-AH143227","Sprocket, Drive; 17 Tooth / 50 Chain","2.73 lbs","null"
"all w/ 1 piece augers.<br> Dim A (1): A -201.125""<br> Dim B (2): B - 2.875""<br> Dim C (3): C - 1.000""<br> Dim D (4): 11.750"" LH flighting<br> Balanced: Yes <br> Replaces: AH132033","https://www.aiproducts.com/images/AH143727.JPG,https://www.aiproducts.com/images/9SER.JPG,https://www.aiproducts.com/images/AH114138.JPG,https://www.aiproducts.com/images/20SER.JPG","A-AH143729","Auger, Unloading, Horizontal","126.00 lbs","null"
"","","A-AH144637","Chaffer, Air Foil; Rigid",,"null"
"Dim A (1): A - 85.440""<br> Dim B (2): B - 1.125"" HEX<br> Replaces: AH141465, AH131527<br> Thread: M20 x 1.5 RH","https://www.aiproducts.com/images/AH145821.JPG","A-AH145821","Shaft, Cutterbar Drive (LH)","26.00 lbs","A-207KRRB12-I"
"Lower Half Of 2 Piece Fold Down Auger<br> Dim A (1): A - 29.16""<br> Dim B (2): B - 1.061""<br> Dim C (3): C - 1.248""<br> Dim D (4): D - .812""<br> Dim E (5): 8.50"" RH flighting","https://www.aiproducts.com/images/AH146214.JPG,https://www.aiproducts.com/images/9SER.JPG","A-AH146214","Auger, Loading, Tank, Lower (Fold Down)","31.84 lbs","null"
"Slow Speed (Rice Only)<br> Dim A (1): Chain: 60<br> Dim B (2): Teeth: 40<br> Dim C (3): Bore Dia: 1.502""<br> Dim D (4): Overall Length: 2.677""","https://www.aiproducts.com/images/AH146352.JPG,https://www.aiproducts.com/images/AH146352(1).JPG","A-AH146352","Sprocket, Vertical Auger Lower Gear Case","10.62 lbs","null"
"Upper Half Of 2 Piece Fold Down Auger<br> Dim A (1): A - 33.250""<br> Dim B (2): B - 2.500""<br> Dim C (3): C - .750""<br> Dim D (4): 9.25"" RH flighting","https://www.aiproducts.com/images/AH146554.JPG,https://www.aiproducts.com/images/9SER.JPG","A-AH146553","Auger, Loading, Tank, Upper (Fold Down)","29.75 lbs","A-JD9219"
"Flighting Diameter: 6.00""<br> Overall Length: 40.75""<br> Reference Number: 1<br> Rotation: Right Hand<br> Tube Size: 1.00""","https://www.aiproducts.com/images/AH146787.JPG,https://www.aiproducts.com/images/9SER.JPG","A-AH146787","Auger, Shoe; RH, Std. Wear","17.00 lbs","null"
"Style: Adjustable","https://www.aiproducts.com/images/AH147773(1).JPG,https://www.aiproducts.com/images/AH147773(2).JPG,https://www.aiproducts.com/images/AH147773.JPG","A-AH147773","Plate; LH Deck","12.00 lbs","null"
"Dim A (1): Chain: 60<br> Dim B (2): Teeth: 40<br> Dim C (3): Bore Size: 1.379""<br> Dim D (4): Total Length: 1.791""","https://www.aiproducts.com/images/AH148573.JPG","A-AH148573","Sprocket, Chain, Cutting Platform","9.74 lbs","null"
"THIS IS THE UPDATED BOOT, THAT USES A 4-BOLT BEARING FLANGE. IF REPLACING THE 3-BOLT STYLE, MUST ORDER A PF80028, ELEVATOR ATTACHMENT KIT, FROM THE OEM.","https://www.aiproducts.com/images/AH149182.JPG","A-AH149182","Boot, Clean Grain Elevator","29.00 lbs","null"
"","https://www.aiproducts.com/images/AH149536.JPG","A-AH149536","Elevator, Tailings","170.00 lbs","null"
"OEM Style w/ Wires In First Half, Short Wire, 27 3/4"" Dia.","https://www.aiproducts.com/images/AH150496.JPG","A-AH150496","Concave (13 bar)","312.00 lbs","null"
"""Loewen"" front concave plates are thicker than OEM and made w/ extra support gussets to prevent bending and excessive wear.<br> Type: Heavy Duty 5/16"" Thickness w/ Extra Supports.","https://www.aiproducts.com/images/AH151119.JPG","A-AH151119","Plate, Front Concave","47.00 lbs","null"
"Narrow / Standard<br> Dim A (1): 83.69"" Long","https://www.aiproducts.com/images/AH152937.JPG","A-AH152937","Shaft Assy, w/Hub, Variable Drive Sheave & Mountings, Front","42.06 lbs","null"
"","https://www.aiproducts.com/images/AH153808.JPG","A-AH153808","Precleaner Shoe Frame","135.00 lbs","null"
"HIGH WEAR (RICE)<br> Dim A (1): A - 43.31""<br> Dim B (2): B - 4.500""<br> Dim C (3): 13.00"" LH flighting<br> Dim D (4): High Wear","https://www.aiproducts.com/images/9SER.JPG,https://www.aiproducts.com/images/AH154962.JPG,https://www.aiproducts.com/images/AH154962(1).JPG","A-AH154962","Auger, Unloading, Vertical","90.00 lbs","null"
"Replaces: AH156810, AH142190, AH141827, AH135667, AH149202","https://www.aiproducts.com/images/AH156596.JPG,https://www.aiproducts.com/images/AH235358.JPG","A-AH156596","Elevator, Clean Grain, Lower","142.00 lbs","null"
"","https://www.aiproducts.com/images/AH157942.JPG","A-AH157942","Runner Assembly","16.00 lbs","null"
"Cond. to Rec/Drier<br> Replaces: AH142103","https://www.aiproducts.com/images/AH159026(1).JPG,https://www.aiproducts.com/images/AH159026(2).JPG,https://www.aiproducts.com/images/AH159026(3).JPG,https://www.aiproducts.com/images/A40149.JPG","A-AH159026","Line, Cond. to Rec/Drier","2.40 lbs","null"
"Replaces: AH137732","https://www.aiproducts.com/images/AH159704.JPG","A-AH159704","Floor, Feeder House; Wide","250.00 lbs","null"
"This is a brand new Clean Grain Lower Auger that is 93"" long, has a 1.582"" tube, and has 8.5"" RH flighting. It fits the John Deere Combine 9650 or 9660.<br> Dim A (1): A - 93.00""<br> Dim B (2): B - 1.180""<br> Dim C (3): C - 1.375""<br> Dim D (4): D - 1.582""<br> Dim E (5): E - .983""<br> Flighting Diameter: 8.50""<br> Rotation: Right Hand","https://www.aiproducts.com/images/AH162153.JPG,https://www.aiproducts.com/images/9SER.JPG","A-AH162153","Auger, Clean Grain, Lower","53.99 lbs","null"
"Replaces: AH147202","https://www.aiproducts.com/images/AH162309(1).JPG,https://www.aiproducts.com/images/AH162309(4).JPG,https://www.aiproducts.com/images/AH162309(3).JPG,https://www.aiproducts.com/images/AH162309(2).JPG","A-AH162309","Assy, Extension Spring","1.25 lbs","null"
"","https://www.aiproducts.com/images/AH163595(1).JPG,https://www.aiproducts.com/images/AH163595(2).JPG,https://www.aiproducts.com/images/AH163595(3).JPG,https://www.aiproducts.com/images/AH163595(4).JPG","A-AH163595","Bearing, W/ Housing; Straw Chopper (Import)","3.30 lbs","null"
"This is the poly wear plate only. You will need to re-use the existing bracket and install new wear plate to it.<br> Includes Hardware.","https://www.aiproducts.com/images/AH164349(1).JPG","A-AH164349-WP","Wear Plate; Mass Flow Sensor Bracket",".60 lbs","null"
"","https://www.aiproducts.com/images/AH166027.JPG","A-AH166027","Floor, Feeder House; Wide","175.00 lbs","null"
"19M7866 screw (X2) and AH132819 bracket (X2) are not included & currently not avaiable from A & I.<br> Dim A (1): 66.00""<br> Dim B (2): 57.00""<br> Dim C (3): 71.50""<br> Dim D (4): 57.00""<br> Replaces: AH141412","https://www.aiproducts.com/images/AH166648.JPG","A-AH166648","Glass, Windshield (Glass Only)","125.00 lbs","null"
"Dim A (1): 10.160"" O.D.","https://www.aiproducts.com/images/AH167535.JPG","A-AH167535","Sheave, Inner; Fan Driven","11.20 lbs","null"
"2 Required<br> 14 Ga. Stainless Steel<br> Hardware Not Included<br> Holes NOT Pre-Drilled.<br> Overall Length: 69.954""<br> Overall Width: 13.431""","https://www.aiproducts.com/images/AH168093(1).JPG,https://www.aiproducts.com/images/AH168093(2).JPG,https://www.aiproducts.com/images/AH168093.JPG","A-AH168093","Liner, Grain Tank Auger Trough; Stainless Steel","20.00 lbs","null"
"This is a brand new high wear (RH) Cleaning Shoe Auger that is 40.625"" long, has a 1"" tube, and 6"" LH flighting. It fits multiple John Deere Combine models.<br> Flighting Diameter: 6.00""<br> Length: 40.625""<br> Rotation: Right Hand<br> Shaft Diameter: 1.000""","https://www.aiproducts.com/images/AH168285.JPG,https://www.aiproducts.com/images/9SER.JPG","A-AH168285","Auger, Cleaning Shoe, High Wear (RH)","15.00 lbs","null"
"Dim A (1): A - 83.125""<br> Dim B (2): B - 2.875""<br> Dim C (3): 19 tooth spline<br> Dim D (4): 12.00"" LH flighting","https://www.aiproducts.com/images/9SER.JPG,https://www.aiproducts.com/images/AH169061.JPG","A-AH169061","Auger, Horizontal Unloading; Std. Unloading Rate","66.00 lbs","A-JD9373"
"Our new radiator is designed and built to precise dimensional specifications to ensure an exact fit. Each radiator has a stamped brass tank, undergoes a rigorous quality inspection, and is 100% leak tested. The radiator has 5 fins per inch and 5 rows of tubes. It is 33.875"" tall and the core size is 25.562"" wide. This radiator fits multiple John Deere Combine models. (NOTE: replaces AH133223, AH128257, AH138940)<br> Dim A (1): Core Size: 25.562"" Wide<br> Dim B (2): 33.875"" High<br> Dim C (3): 5 Rows of Tubes<br> Dim D (4): 5 Fins per Inch<br> Replaces: AH133223","https://www.aiproducts.com/images/AH128257.JPG","A-AH169362","Radiator","65.02 lbs","null"
"Replaces: AH158688","https://www.aiproducts.com/images/AH170741(1).JPG,https://www.aiproducts.com/images/AH170741(2).JPG,https://www.aiproducts.com/images/AH170741(3).JPG,https://www.aiproducts.com/images/AH170741(4).JPG","A-AH170741","Assy, Filler Cover","1.30 lbs","null"
"HIGH WEAR<br> Dim A (1): A - 39.750""<br> Dim B (2): B - 4.500""<br> Dim C (3): 13.00"" LH flighting","https://www.aiproducts.com/images/AH171554.JPG,https://www.aiproducts.com/images/9SER.JPG","A-AH171554","Auger, Unloading, Vertical (High Wear)","78.00 lbs","null"
"Replaces: AH107066, AH164128, AH143705, H103046","https://www.aiproducts.com/images/AH171884(1).JPG,https://www.aiproducts.com/images/AH171884(2).JPG","A-AH171884","Support, Auger Finger",".22 lbs","null"
"Length: 35.71""<br> Replaces: AH149550<br> Spacing: 1 1/8""<br> Type: Set of 2 for chaffer<br> Width: 31.10""","https://www.aiproducts.com/images/SHORT_FINGER.JPG,https://www.aiproducts.com/images/B91517.JPG","A-AH172948","Chaffer, Top; Short Finger","38.00 lbs","null"
"Dim A (1): 8.892"" O.D.<br> Dim B (2): 1.381"" I.D.","https://www.aiproducts.com/images/AH173040.JPG","A-AH173040","Pulley, Slip Clutch; Tailing Elevator","10.20 lbs","null"
"All W/ Fixed Or Adjustable Rear Axles.<br> Dim A (1): A- 10.70""<br> Dim B (2): B- 2.75""<br> Dim C (3): C- 2.249""<br> Dim D (4): D- 1.00- 14 UNS RH Thrd.<br> Replaces: AH125655","https://www.aiproducts.com/images/AH173845.JPG","A-AH173845","Spindle (RH)","47.00 lbs","null"
"Dim A (1): 12.510"" O.D.<br> Dim B (2): 4.878"" I.D.","https://www.aiproducts.com/images/AH201415.JPG","A-AH201415","Sheave, Feeder House; Outer, High Capacity","20.30 lbs","null"
"Replaces: H173329","https://www.aiproducts.com/images/AH201702.JPG","A-AH201702","Cover, Wear; Dust Cover","3.00 lbs","null"
"Length: 34.00""<br> Spacing: 1 1/8""<br> Type: Flat<br> Width: 51.50""","https://www.aiproducts.com/images/SHORT_FINGER.JPG,https://www.aiproducts.com/images/B91517.JPG","A-AH201930","Short Flat Finger Adjustable Precleaner","66.00 lbs","A-AH149543"
"Flighting Diameter: 7.00""<br> Overall Length: 123.125""<br> Replaces: AH127975, AH138396<br> Rotation: Left Hand<br> Shaft Diameter: 1.375""<br> Tube Size: 2.00""","https://www.aiproducts.com/images/AH138398.JPG,https://www.aiproducts.com/images/9SER.JPG","A-AH202875","Auger, Tank Cross, Front","56.00 lbs","A-JD39104"
"Dim A (1): A- 164.625""<br> Dim B (2): B- 3.50""<br> Dim C (3): C- 1.250"" Hex<br> Dim D (4): D- 15.75"" Dia.<br> Balanced: yes ","https://www.aiproducts.com/images/AH203021.JPG,https://www.aiproducts.com/images/9SER.JPG","A-AH203021","Auger, Horizontal Unloading; High Unloading Rate","190.00 lbs","null"
"Replaces: AH166439","https://www.aiproducts.com/images/AH204389(1).JPG,https://www.aiproducts.com/images/AH204389(2).JPG,https://www.aiproducts.com/images/AH204389(3).JPG,https://www.aiproducts.com/images/AH204389(4).JPG","A-AH204389","Idler, Feed Accelerator & Secondary Jackshaft","5.35 lbs","null"
"Replaces: AH151971<br> Type: Narrow","https://www.aiproducts.com/images/AH204976(1).JPG,https://www.aiproducts.com/images/AH204976(2).JPG","A-AH204976","Chaffer Shoe Frame","200.00 lbs","null"
"If installing into 50 Series, AH210894 latch kit is required.<br> Type: Small Grain","https://www.aiproducts.com/images/AXE28958(1).JPG,https://www.aiproducts.com/images/AXE28958(2).JPG,https://www.aiproducts.com/images/AXE28958(3).JPG","A-AXE28958","Concave, Middle/Rear (Small Grain)","84.00 lbs","null"
"Fits front, middle, and rear.<br> For front use, must order front lip kit, part A-STSFL.<br> If installing in 50 Series, A-AH210894 latch kit is required.<br> Each half-width concave requires its own latch assembly<br> Quantity Required: 6<br> Type: Corn & Soybean","https://www.aiproducts.com/images/AH205260-HW(1).JPG,https://www.aiproducts.com/images/AH205260-HW(2).JPG,https://www.aiproducts.com/images/AH205260-HW(3).JPG","A-AH205260-HW","Concave, Front/Middle/Rear (Corn & Soybean): Half-Width","38.00 lbs","null"
"Bore: 1.849""<br> Chain: 60<br> Outside Diameter: 6.16""<br> Teeth: 24","https://www.aiproducts.com/images/AH206131(1).JPG,https://www.aiproducts.com/images/AH206131(2).JPG,https://www.aiproducts.com/images/AH206131(3).JPG","A-AH206131","Idler Sprocket, Unloading Auger Drive w/ Bearing","3.10 lbs","null"
"Concave inserts improve threshing and prevent cobs w/ unthreshed kernels from passing through the open area at the rear of the concave. For ""Loewen"" and OEM concaves.<br> Replaces: AH171207, AH153688, AH137523, AH143744","https://www.aiproducts.com/images/AH206756(1).JPG,https://www.aiproducts.com/images/AH206756(2).JPG,https://www.aiproducts.com/images/AH206756(3).JPG","A-AH206756","Concave Insert - C/W Spring, Pin, Roll Pin & Washer","2.27 lbs","null"
"Type: High Wear, Small Grain","https://www.aiproducts.com/images/AH207850.JPG","A-AH207850","Concave, Front; High Wear","90.00 lbs","null"
"Length: 63.25""<br> Spacing: 1 1/8""<br> Type: 1 Piece<br> Width: 51.87""","https://www.aiproducts.com/images/AH208291(1).JPG,https://www.aiproducts.com/images/AH208291(2).JPG,https://www.aiproducts.com/images/AH208291(3).JPG,https://www.aiproducts.com/images/SHORT_FINGER.JPG","A-AH208291","Chaffer, Top; Short Finger","110.00 lbs","null"
"Replaces: AH106933<br> Thread: M6 x 1.0 RH<br> Thread Length: .55""","https://www.aiproducts.com/images/AH208684(1).JPG,https://www.aiproducts.com/images/AH208684(2).JPG","A-AH208684","Joint, Ball",".15 lbs","null"
"Type: Large Wire, High Wear, Corn & Soybean","https://www.aiproducts.com/images/CJDSTS.JPG","A-AH209091","Concave, Middle/Rear (High Wear, Corn & Soybean)","118.00 lbs","null"
"Dim A (1): Set Of 3<br> Dim B (2): Chrome","https://www.aiproducts.com/images/AH209123(1).JPG,https://www.aiproducts.com/images/AH209123(2).JPG,https://www.aiproducts.com/images/AH209123(3).JPG","A-AH209123","Tines; Chrome Kit, (Set of 3)","13.95 lbs","null"
"21.5', RIGID<br> Dim A (1): 180.250"" Length","https://www.aiproducts.com/images/AH210023.JPG","A-AH210023","Tube, Unloading Auger","312.00 lbs","null"
"New feeder house driver pivot pin. Fits John Deere mower conditioner and combines.","https://www.aiproducts.com/images/AH212002(1).JPG,https://www.aiproducts.com/images/AH212002(2).JPG,https://www.aiproducts.com/images/AH212002(3).JPG,https://www.aiproducts.com/images/AH212002(4).JPG,https://www.aiproducts.com/images/AH212002(5).JPG,https://www.aiproducts.com/images/AH212002(6).JPG","A-AH212002","Pin, Pivot; Feeder House Driver","2.10 lbs","null"
"Length: 54.75""<br> Spacing: 1 1/8""<br> Type: Touchset (Electronically Adjusted)<br> Width: 51.87""","https://www.aiproducts.com/images/BLUNT_FINGER.JPG,https://www.aiproducts.com/images/B91517.JPG","A-AH212241","Sieve, Bottom; Blunt Finger","100.00 lbs","null"
"Length: 34.00""<br> Spacing: 1 1/8""<br> Type: Humped<br> Width: 51.50""","https://www.aiproducts.com/images/SHORT_FINGER.JPG,https://www.aiproducts.com/images/AH212423.JPG","A-AH212423","Precleaner, Short, Hump Finger Adjustable","74.00 lbs","null"
"","https://www.aiproducts.com/images/AH213902(1).JPG,https://www.aiproducts.com/images/AH213902(2).JPG,https://www.aiproducts.com/images/AH213902(3).JPG,https://www.aiproducts.com/images/AH213902(4).JPG","A-AH213902","Bearing W/ Housing","7.90 lbs","null"
"Includes: (10) H169914 Fingers, (10) H172459 Retainers & (10) 28316 Spring Pins.<br> Replaces: AH201250","https://www.aiproducts.com/images/AH214868(1).JPG,https://www.aiproducts.com/images/AH214868(2).JPG","A-AH214868","Kit, Auger Finger; Steel","10.25 lbs","null"
"Bore: 1.38""<br> Outside Diameter: 4.92""<br> Teeth: 19<br> Width: 1.25""","https://www.aiproducts.com/images/AH215152.JPG","A-AH215152","Sprocket, Countershaft Drive, Unloading Auger","2.15 lbs","null"
"Type: Chrome","https://www.aiproducts.com/images/AH216675(1).JPG,https://www.aiproducts.com/images/AH216675(2).JPG,https://www.aiproducts.com/images/AH216675(3).JPG,https://www.aiproducts.com/images/AH-Threshing-element.JPG","A-AH216675","Kit, Threshing Element; 2nd Row;  Corn & Grain, High Wear, Set of 3 (Bullet Rotor)","50.00 lbs","A-AH209118-5RB"
"Use W/ RE64882 Line","https://www.aiproducts.com/images/AH21762(1).JPG,https://www.aiproducts.com/images/AH21762(2).JPG,https://www.aiproducts.com/images/AH21762(3).JPG","A-AH21762","Coupling, Male Half, Pressure Side",".15 lbs","null"
"","https://www.aiproducts.com/images/AH218187(1).JPG,https://www.aiproducts.com/images/AH218187(2).JPG,https://www.aiproducts.com/images/AH218187.JPG","A-AH218187","Floor; Straw Chopper","75.00 lbs","null"
"Length: 9'<br> Number Of Sections: 25<br> Replaces: AH159215<br> Section Number: H163131<br> Splice Kit: AH205918","https://www.aiproducts.com/images/AH218389(1).JPG","A-AH218389","9�, Chrome 11ga Coarse Serrated, Bolt-On, Mid-Segment w/Reinforcement","13.40 lbs","null"
"Replaces: AH207168","https://www.aiproducts.com/images/AH218602.JPG","A-AH218602","Elevator, Clean Grain","290.00 lbs","null"
"Made of Hot Rolled Steel<br> Replaces: AH211158, AH149782","https://www.aiproducts.com/images/AH219093.JPG","A-AH219094","Tube; Loading Auger","125.00 lbs","null"
"This is a brand new (RH) Chaffer Assembly Swinger Arm that fits multiple John Deere Combine models.<br> Replaces: AH146570, AH170778","https://www.aiproducts.com/images/AH219846.JPG","A-AH219846","Arm, Swinger (RH), Chaffer Assy","12.00 lbs","null"
"Length: 51.500""<br> Outside Diameter: 10.750""","https://www.aiproducts.com/images/AH220242(1).JPG,https://www.aiproducts.com/images/AH220242(2).JPG,https://www.aiproducts.com/images/AH220242(3).JPG","A-AH220242","Drum, Feeder House; Narrow, Heavy Duty","63.00 lbs","null"
"","","A-AH221431","Bearing, Straw Chopper Jackshaft",,"null"
"Replaces: AH165503, AH164488","https://www.aiproducts.com/images/AH222862(1).JPG,https://www.aiproducts.com/images/AH222862(2).JPG,https://www.aiproducts.com/images/AH222862.JPG","A-AH222862","Chaffer Shoe Frame (LH)","85.00 lbs","null"
"","https://www.aiproducts.com/images/AH224451(1).JPG,https://www.aiproducts.com/images/AH224451(2).JPG","A-AH224451","Assy, Pressure Switch",".05 lbs","null"
"Length: 6.19""<br> Width: 1.97""","https://www.aiproducts.com/images/AH225940(1).JPG,https://www.aiproducts.com/images/AH225940(2).JPG,https://www.aiproducts.com/images/AH225940(3).JPG,https://www.aiproducts.com/images/AH225940.JPG","A-AH225940","Blade Kit; Straw Chopper, Scoop Type, Set Of 8","8.90 lbs","null"
"This is a brand new Feeder Drum Arm that fits multiple John Deere Combine models.","https://www.aiproducts.com/images/AH226296.JPG","A-AH226296","Arm, Feeder Drum","5.40 lbs","null"
"","","A-AH226569","Sickle Assembly, RH Tail; 40 Ft. Coarse","3.30 lbs","A-AH205918, A-AH218389, A-AH226557, A-AH226558, A-AH226571, A-AH226582"
"Replaces: AH219193","https://www.aiproducts.com/images/AH227675(1).JPG,https://www.aiproducts.com/images/AH227675(2).JPG,https://www.aiproducts.com/images/AH227675(3).JPG","A-AH227675","Hinge, Stone Trap","9.40 lbs","null"
"Slat mounting hardware not included. For slat mounting hardware see part # A-JDC100BK","https://www.aiproducts.com/images/AH231006LS(1).JPG,https://www.aiproducts.com/images/AH231006LS(2).JPG,https://www.aiproducts.com/images/AH231006LS(3).JPG,https://www.aiproducts.com/images/AH231006LS(4).JPG,https://www.aiproducts.com/images/AH231006LS(5).JPG,https://www.aiproducts.com/images/AH231006LS(6).JPG","A-AH231006LS","Chain, Feeder House, (3 Strand), less slats","60.00 lbs","null"
"Replaces: AH212944","https://www.aiproducts.com/images/AH232668(1).JPG,https://www.aiproducts.com/images/AH232668(2).JPG,https://www.aiproducts.com/images/AH232668(3).JPG","A-AH232668","Bearing, W/ Housing; Straw Chopper (Import)","5.95 lbs","null"
"Dim A (1): A- 95.125""<br> Dim B (2): B - 1.246"" Hex<br> Dim C (3): C- 2.875""<br> Balanced: yes <br> Flighting Diameter: 15.25""<br> Overall Length: 95.125""<br> Rotation: LH<br> Shaft Diameter: 1.246"" Hex<br> Spline Count: 19 Teeth<br> Spline Diameter: 1.235""<br> Tube Size: 2.875""","https://www.aiproducts.com/images/AH234554.JPG","A-AH234554","Auger, Middle Unloading","108.00 lbs","A-AH235525"
"Links-Chain: 147-CA557<br> Paddle Size: 8 3/4"" x 4 5/8""<br> Quantity-Paddle: 34 - H237830<br> Replaces: AH234790","https://www.aiproducts.com/images/AH234790.JPG","A-AXE28560","Chain; Clean Grain Elevator","68.00 lbs","A-H237830"
"7/8"" x 171"" Wrapped Set/2 Aramid Cord<br> Color: Black<br> Length: 171""<br> Material: Aramid Cord<br> Set Quantity: 2<br> Thickness: 0.61""<br> Type: Wrapped<br> Width: 7/8""","https://www.aiproducts.com/images/AH236689(1).JPG,https://www.aiproducts.com/images/AH236689(2).JPG","A-AH236689","Belt, Discharge Beater Drive (Extra Fine Cut)","6.53 lbs","null"
"Flighting Diameter: 4.750""<br> Overall Length: 69.00""<br> Rotation: Right Hand<br> Tube Size: 0.875""","https://www.aiproducts.com/images/AH76573.JPG,https://www.aiproducts.com/images/100SER.JPG","A-AH75435","Auger, Tailings, Upper","18.00 lbs","null"
"Except SideHill Models","https://www.aiproducts.com/images/AH83618.JPG","A-AH83618","Feeder House Bottom, Upper Back, Regular Length","33.00 lbs","null"
"Dim A (1): 15 & 15 teeth, 50 chain<br> Dim B (2): 3.316"" OD, 1.127"" ID","https://www.aiproducts.com/images/AH87249.JPG","A-AH87249","Sprocket, Walker & Shoe Drive","2.16 lbs","null"
"Includes: Bushing","https://www.aiproducts.com/images/AH87787.JPG,https://www.aiproducts.com/images/AH87787(1).JPG,https://www.aiproducts.com/images/AH87787(2).JPG,https://www.aiproducts.com/images/AH87787(3).JPG","A-AH87787","Bearing Cap with Bushing","1.10 lbs","null"
"","https://www.aiproducts.com/images/AH88599.JPG","A-AH88599","Feeder House Bottom, Lower Front","69.00 lbs","null"
"Flighting Diameter: 6.750""<br> Overall Length: 66.500""<br> Replaces: AH87951<br> Rotation: Left Hand<br> Shaft Diameter: 1.000""<br> Tube Size: 1.312""","https://www.aiproducts.com/images/AH90624.JPG,https://www.aiproducts.com/images/100SER.JPG","A-AH90624","Auger, Loading, Tank","23.02 lbs","null"
"Flighting Diameter: 6.750""<br> Overall Diameter: 83.125""<br> Replaces: AH85069, AH7705<br> Rotation: Right Hand<br> Shaft Diameter: 1.00""<br> Tube Size: 1.250""","https://www.aiproducts.com/images/AH91468.JPG,https://www.aiproducts.com/images/100SER.JPG","A-AH91469","Auger, Clean Grain, Lower","44.00 lbs","null"
"Dim A (1): 15 & 15 teeth, 60 chain<br> Dim B (2): 3.979""dia.<br> Dim C (3): 19 ID spline","https://www.aiproducts.com/images/AH92689.JPG","A-AH92689","Sprocket, Walker & Shoe Drive","3.28 lbs","null"
"Type: Lip Type Louvers","https://www.aiproducts.com/images/AH94469.JPG","A-AH94469","Straw Walker","197.00 lbs","null"
"","https://www.aiproducts.com/images/AH96541.JPG","A-AH96541","Feeder House Bottom, Upper Back, Regular Length","75.00 lbs","null"
"Dim A (1): Chain: 60<br> Dim B (2): Teeth: 14<br> Dim C (3): Bore Dia: 1.172""<br> Dim D (4): Overall Length: 2.697""","https://www.aiproducts.com/images/AH96938.JPG","A-AH96938","Sprocket, Shaft w/ Reverser, Front (Variable)","1.70 lbs","null"
"Dim A (1): 91.625"" long","https://www.aiproducts.com/images/AH97641.JPG","A-AH97641","Shaft, Feeder House, Lower","46.00 lbs","A-JD10011, A-JD9202"
"","https://www.aiproducts.com/images/AH97752.JPG","A-AH97752","Chaffer Shoe Frame","95.00 lbs","null"
"Dim A (1): 17 Teeth<br> Dim B (2): .50"" bore<br> Replaces: AH87204","https://www.aiproducts.com/images/AH98176.JPG","A-AH98176","Sprocket, Idler",".71 lbs","null"
"","https://www.aiproducts.com/images/AHC13485(1).JPG","A-AHC13485","Seal Kit, Hydraulic Cylinder Rod",".20 lbs","null"
"","","A-AHC16982","Seal Kit, Hydraulic Cylinder Rod",".05 lbs","null"
"","","A-AHC19979","Seal Kit, Hydraulic Cylinder",".28 lbs","null"
"","","A-AK15519","Filter, Air Kit",,"null"
"Type: Bosch<br> Volt/Amperage: 12/110","https://www.aiproducts.com/images/AL-6226(1).JPG,https://www.aiproducts.com/images/AL-6226(2).JPG,https://www.aiproducts.com/images/AL-6226(3).JPG,https://www.aiproducts.com/images/AL-6226(4).JPG,https://www.aiproducts.com/images/AL-6226(5).JPG","A-AL-6226","Alternator, Bosch","16.04 lbs","null"
